GO.ID,GO_full_name
GO:0032440,2-alkenal reductase [NAD(P)] activity
GO:0005654,nucleoplasm
GO:0046686,response to cadmium ion
GO:0016491,oxidoreductase activity
GO:0055114,oxidation-reduction process
GO:0005634,nucleus
GO:0005829,cytosol
GO:0009536,plastid
GO:0005737,cytoplasm
GO:0006979,response to oxidative stress
GO:0001709,cell fate determination
GO:0016757,"transferase activity, transferring glycosyl groups"
GO:0016740,transferase activity
,
GO:0010466,negative regulation of peptidase activity
GO:0046872,metal ion binding
GO:0006952,defense response
GO:0005886,plasma membrane
GO:0005515,protein binding
GO:0042742,defense response to bacterium
GO:0030414,peptidase inhibitor activity
GO:0008150,biological_process
GO:0003674,molecular_function
GO:0010200,response to chitin
GO:0070696,transmembrane receptor protein serine/threonine kinase binding
GO:0009506,plasmodesma
GO:0004842,ubiquitin-protein transferase activity
GO:0016567,protein ubiquitination
GO:0003723,RNA binding
GO:0003729,mRNA binding
GO:0009507,chloroplast
GO:0006417,regulation of translation
GO:0010608,posttranscriptional regulation of gene expression
GO:0006355,"regulation of transcription, DNA-templated"
GO:0003690,double-stranded DNA binding
GO:0032502,developmental process
GO:0009658,chloroplast organization
GO:0016020,membrane
GO:0016021,integral component of membrane
GO:0005794,Golgi apparatus
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0000138,Golgi trans cisterna
GO:0031347,regulation of defense response
GO:0071446,cellular response to salicylic acid stimulus
GO:2000031,regulation of salicylic acid mediated signaling pathway
GO:0005773,vacuole
GO:0009505,plant-type cell wall
GO:0098869,cellular oxidant detoxification
GO:0005576,extracellular region
GO:0020037,heme binding
GO:0004601,peroxidase activity
GO:0042744,hydrogen peroxide catabolic process
GO:0005739,mitochondrion
GO:0005618,cell wall
GO:0022627,cytosolic small ribosomal subunit
GO:1990904,ribonucleoprotein complex
GO:0003735,structural constituent of ribosome
GO:0006412,translation
GO:0005840,ribosome
GO:0015935,small ribosomal subunit
GO:1905392,plant organ morphogenesis
GO:0090708,specification of plant organ axis polarity
GO:0009880,embryonic pattern specification
GO:0009736,cytokinin-activated signaling pathway
GO:0048825,cotyledon development
GO:0009735,response to cytokinin
GO:0009734,auxin-activated signaling pathway
GO:0003677,DNA binding
GO:0003700,DNA-binding transcription factor activity
GO:0009873,ethylene-activated signaling pathway
GO:0006761,dihydrofolate biosynthetic process
GO:0000166,nucleotide binding
GO:0005524,ATP binding
GO:0016874,ligase activity
GO:0009058,biosynthetic process
GO:0046654,tetrahydrofolate biosynthetic process
GO:0005759,mitochondrial matrix
GO:0009793,embryo development ending in seed dormancy
GO:0006730,one-carbon metabolic process
GO:0004326,tetrahydrofolylpolyglutamate synthase activity
GO:0009396,folic acid-containing compound biosynthetic process
GO:0046901,tetrahydrofolylpolyglutamate biosynthetic process
GO:0008841,dihydrofolate synthase activity
GO:0005575,cellular_component
GO:0005347,ATP transmembrane transporter activity
GO:0009624,response to nematode
GO:0031969,chloroplast membrane
GO:0009941,chloroplast envelope
GO:0022857,transmembrane transporter activity
GO:0055085,transmembrane transport
GO:0015867,ATP transport
GO:0042651,thylakoid membrane
GO:0090630,activation of GTPase activity
GO:0017137,Rab GTPase binding
GO:0005096,GTPase activator activity
GO:0006886,intracellular protein transport
GO:0005622,intracellular
GO:0006360,transcription by RNA polymerase I
GO:0001164,RNA polymerase I CORE element sequence-specific DNA binding
GO:0001188,RNA polymerase I preinitiation complex assembly
GO:0001650,fibrillar center
GO:0004040,amidase activity
GO:0005242,inward rectifier potassium channel activity
GO:0042802,identical protein binding
GO:0005216,ion channel activity
GO:0006811,ion transport
GO:0034220,ion transmembrane transport
GO:0006813,potassium ion transport
GO:0005249,voltage-gated potassium channel activity
GO:0071805,potassium ion transmembrane transport
GO:0005244,voltage-gated ion channel activity
GO:0005267,potassium channel activity
GO:0034765,regulation of ion transmembrane transport
GO:0003680,AT DNA binding
GO:0048367,shoot system development
GO:0004497,monooxygenase activity
GO:0005506,iron ion binding
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0000139,Golgi membrane
GO:0015031,protein transport
GO:0016192,vesicle-mediated transport
GO:0030117,membrane coat
GO:0005198,structural molecule activity
GO:0030126,COPI vesicle coat
GO:0030663,COPI-coated vesicle membrane
GO:0031410,cytoplasmic vesicle
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0006891,intra-Golgi vesicle-mediated transport
GO:0007568,aging
GO:0009845,seed germination
GO:0008168,methyltransferase activity
GO:0032259,methylation
GO:0009651,response to salt stress
GO:0009737,response to abscisic acid
GO:0006464,cellular protein modification process
GO:0004719,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0006479,protein methylation
GO:0030091,protein repair
GO:0004675,transmembrane receptor protein serine/threonine kinase activity
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0016301,kinase activity
GO:0016310,phosphorylation
GO:0004672,protein kinase activity
GO:0006468,protein phosphorylation
GO:0004674,protein serine/threonine kinase activity
GO:0048040,UDP-glucuronate decarboxylase activity
GO:0042732,D-xylose metabolic process
GO:0033320,UDP-D-xylose biosynthetic process
GO:0016829,lyase activity
GO:0016831,carboxy-lyase activity
GO:0070403,NAD+ binding
GO:0003824,catalytic activity
GO:0005975,carbohydrate metabolic process
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GO:0022626,cytosolic ribosome
GO:0005509,calcium ion binding
GO:0050664,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"
GO:0016174,NAD(P)H oxidase activity
GO:0030246,carbohydrate binding
