GO.ID,GO_full_name
,
GO:0016020,membrane
GO:0016021,integral component of membrane
GO:0004930,G-protein coupled receptor activity
GO:0007165,signal transduction
GO:0007186,G-protein coupled receptor signaling pathway
GO:0045028,G-protein coupled purinergic nucleotide receptor activity
GO:0035589,G-protein coupled purinergic nucleotide receptor signaling pathway
GO:0006935,chemotaxis
GO:0004992,platelet activating factor receptor activity
GO:0005622,intracellular
GO:0035556,intracellular signal transduction
GO:0005509,calcium ion binding
GO:0007601,visual perception
GO:0008048,calcium sensitive guanylate cyclase activator activity
GO:0031284,positive regulation of guanylate cyclase activity
GO:0001750,photoreceptor outer segment
GO:0042803,protein homodimerization activity
GO:0008198,ferrous iron binding
GO:0030250,guanylate cyclase activator activity
GO:0005575,cellular_component
GO:0008150,biological_process
GO:0003674,molecular_function
GO:0003676,nucleic acid binding
GO:0005525,GTP binding
GO:0046872,metal ion binding
GO:0003677,DNA binding
GO:0003700,DNA-binding transcription factor activity
GO:0006355,"regulation of transcription, DNA-templated"
GO:0005634,nucleus
GO:0006869,lipid transport
GO:0008289,lipid binding
GO:0051560,mitochondrial calcium ion homeostasis
GO:0005739,mitochondrion
GO:1990456,mitochondrion-endoplasmic reticulum membrane tethering
GO:0044233,ER-mitochondrion membrane contact site
GO:0003682,chromatin binding
GO:0005829,cytosol
GO:0045944,positive regulation of transcription by RNA polymerase II
GO:0005667,transcription factor complex
GO:0000978,RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0008134,transcription factor binding
GO:0001816,cytokine production
GO:0033173,calcineurin-NFAT signaling cascade
GO:0044798,nuclear transcription factor complex
GO:0036094,small molecule binding
GO:0001972,retinoic acid binding
GO:0006629,lipid metabolic process
GO:0016829,lyase activity
GO:0005783,endoplasmic reticulum
GO:0005789,endoplasmic reticulum membrane
GO:0018812,3-hydroxyacyl-CoA dehydratase activity
GO:0102158,very-long-chain 3-hydroxyacyl-CoA dehydratase activity
GO:0102343,3-hydroxy-arachidoyl-CoA dehydratase activity
GO:0102344,3-hydroxy-behenoyl-CoA dehydratase activity
GO:0102345,3-hydroxy-lignoceroyl-CoA dehydratase activity
GO:0006631,fatty acid metabolic process
GO:0006633,fatty acid biosynthetic process
GO:0030148,sphingolipid biosynthetic process
GO:0030497,fatty acid elongation
GO:0042761,very long-chain fatty acid biosynthetic process
GO:0003924,GTPase activity
GO:0000166,nucleotide binding
GO:0007264,small GTPase mediated signal transduction
GO:0007266,Rho protein signal transduction
GO:0016601,Rac protein signal transduction
GO:0030031,cell projection assembly
GO:0048812,neuron projection morphogenesis
GO:0005737,cytoplasm
GO:0055114,oxidation-reduction process
GO:0016491,oxidoreductase activity
GO:0017046,peptide hormone binding
GO:0019221,cytokine-mediated signaling pathway
GO:0043235,receptor complex
GO:0019838,growth factor binding
GO:0009897,external side of plasma membrane
GO:0004896,cytokine receptor activity
GO:0019955,cytokine binding
GO:0004903,growth hormone receptor activity
GO:0046427,positive regulation of JAK-STAT cascade
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation
GO:0060396,growth hormone receptor signaling pathway
GO:0070195,growth hormone receptor complex
GO:0004028,3-chloroallyl aldehyde dehydrogenase activity
GO:0003735,structural constituent of ribosome
GO:0006412,translation
GO:0005840,ribosome
GO:0002181,cytoplasmic translation
GO:0022625,cytosolic large ribosomal subunit
GO:0016192,vesicle-mediated transport
GO:0055085,transmembrane transport
GO:0006812,cation transport
GO:0098655,cation transmembrane transport
GO:0008324,cation transmembrane transporter activity
GO:0004672,protein kinase activity
GO:0005524,ATP binding
GO:0006468,protein phosphorylation
GO:0004674,protein serine/threonine kinase activity
GO:0005516,calmodulin binding
GO:0004683,calmodulin-dependent protein kinase activity
GO:0045475,locomotor rhythm
GO:0045202,synapse
GO:0003779,actin binding
GO:0030425,dendrite
GO:0007409,axonogenesis
GO:0000226,microtubule cytoskeleton organization
GO:0008017,microtubule binding
GO:0005874,microtubule
GO:0043025,neuronal cell body
GO:0015631,tubulin binding
GO:0016358,dendrite development
GO:0005875,microtubule associated complex
GO:0042995,cell projection
GO:0007346,regulation of mitotic cell cycle
GO:0043066,negative regulation of apoptotic process
GO:0046777,protein autophosphorylation
GO:0006260,DNA replication
GO:0006261,DNA-dependent DNA replication
GO:0043625,delta DNA polymerase complex
GO:0045010,actin nucleation
GO:0070121,Kupffer's vesicle development
GO:0003824,catalytic activity
GO:0006506,GPI anchor biosynthetic process
GO:0051377,mannose-ethanolamine phosphotransferase activity
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
GO:0006081,cellular aldehyde metabolic process
GO:0005576,extracellular region
GO:0009617,response to bacterium
GO:0003713,transcription coactivator activity
GO:0000122,negative regulation of transcription by RNA polymerase II
GO:0001047,core promoter binding
GO:0003714,transcription corepressor activity
GO:0046982,protein heterodimerization activity
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity
GO:0000307,cyclin-dependent protein kinase holoenzyme complex
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity
GO:1901409,positive regulation of phosphorylation of RNA polymerase II C-terminal domain
GO:0016757,"transferase activity, transferring glycosyl groups"
GO:0005975,carbohydrate metabolic process
GO:0016740,transferase activity
GO:0008146,sulfotransferase activity
GO:0005887,integral component of plasma membrane
GO:0005886,plasma membrane
GO:0042407,cristae formation
GO:0043565,sequence-specific DNA binding
GO:0002089,lens morphogenesis in camera-type eye
GO:0032077,positive regulation of deoxyribonuclease activity
GO:0034605,cellular response to heat
GO:0061408,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
GO:0070306,lens fiber cell differentiation
GO:1902746,regulation of lens fiber cell differentiation
GO:0005216,ion channel activity
GO:0006811,ion transport
GO:0034220,ion transmembrane transport
GO:0042310,vasoconstriction
GO:0005227,calcium activated cation channel activity
GO:0002724,regulation of T cell cytokine production
GO:0042391,regulation of membrane potential
GO:0061337,cardiac conduction
GO:0008137,NADH dehydrogenase (ubiquinone) activity
GO:0051536,iron-sulfur cluster binding
GO:0032981,mitochondrial respiratory chain complex I assembly
GO:0009060,aerobic respiration
GO:0051539,"4 iron, 4 sulfur cluster binding"
GO:0005747,mitochondrial respiratory chain complex I
GO:0048038,quinone binding
GO:0015990,electron transport coupled proton transport
GO:0062023,collagen-containing extracellular matrix
GO:0005201,extracellular matrix structural constituent
GO:0031012,extracellular matrix
GO:0001570,vasculogenesis
GO:0003007,heart morphogenesis
GO:0003160,endocardium morphogenesis
GO:0003250,regulation of cell proliferation involved in heart valve morphogenesis
GO:0007155,cell adhesion
GO:0048570,notochord morphogenesis
GO:0060958,endocardial cell development
GO:0005743,mitochondrial inner membrane
GO:0031305,integral component of mitochondrial inner membrane
GO:0048565,digestive tract development
GO:0050833,pyruvate transmembrane transporter activity
GO:0006850,mitochondrial pyruvate transmembrane transport
GO:0050821,protein stabilization
GO:0031647,regulation of protein stability
GO:0030246,carbohydrate binding
GO:0005794,Golgi apparatus
GO:0015165,pyrimidine nucleotide-sugar transmembrane transporter activity
GO:0090481,pyrimidine nucleotide-sugar transmembrane transport
GO:0000139,Golgi membrane
GO:0030173,integral component of Golgi membrane
GO:0015136,sialic acid transmembrane transporter activity
GO:0007166,cell surface receptor signaling pathway
GO:0030223,neutrophil differentiation
GO:0002574,thrombocyte differentiation
GO:0005751,mitochondrial respiratory chain complex IV
GO:0016787,hydrolase activity
GO:0016311,dephosphorylation
