GO.ID,GO_full_name
,
GO:0012505,endomembrane system
GO:0035149,"lumen formation, open tracheal system"
GO:0048813,dendrite morphogenesis
GO:0005783,endoplasmic reticulum
GO:0008039,synaptic target recognition
GO:0005319,lipid transporter activity
GO:0006869,lipid transport
GO:0005794,Golgi apparatus
GO:0008525,phosphatidylcholine transporter activity
GO:0016323,basolateral plasma membrane
GO:0015914,phospholipid transport
GO:0042157,lipoprotein metabolic process
GO:0005548,phospholipid transporter activity
GO:0003674,molecular_function
GO:0005737,cytoplasm
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0000502,proteasome complex
GO:0005829,cytosol
GO:0007623,circadian rhythm
GO:0008063,Toll signaling pathway
GO:0005654,nucleoplasm
GO:0005838,proteasome regulatory particle
GO:0031595,nuclear proteasome complex
GO:0008541,"proteasome regulatory particle, lid subcomplex"
GO:0016787,hydrolase activity
GO:0005634,nucleus
GO:0008233,peptidase activity
GO:0006508,proteolysis
GO:0032504,multicellular organism reproduction
GO:0004175,endopeptidase activity
GO:0006974,cellular response to DNA damage stimulus
GO:0004298,threonine-type endopeptidase activity
GO:0051603,proteolysis involved in cellular protein catabolic process
GO:0005839,proteasome core complex
GO:0005515,protein binding
GO:0010498,proteasomal protein catabolic process
GO:0010499,proteasomal ubiquitin-independent protein catabolic process
GO:0016020,membrane
GO:0016021,integral component of membrane
GO:0008150,biological_process
GO:0005575,cellular_component
GO:0016311,dephosphorylation
GO:0006094,gluconeogenesis
GO:0004346,glucose-6-phosphatase activity
GO:0051156,glucose 6-phosphate metabolic process
GO:0042981,regulation of apoptotic process
GO:0042787,protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0031625,ubiquitin protein ligase binding
GO:0022008,neurogenesis
GO:0030162,regulation of proteolysis
GO:0019005,SCF ubiquitin ligase complex
GO:0000932,P-body
GO:0006351,"transcription, DNA-templated"
GO:0000790,nuclear chromatin
GO:0007049,cell cycle
GO:0000122,negative regulation of transcription by RNA polymerase II
GO:0007140,male meiotic nuclear division
GO:0070176,DRM complex
GO:0003676,nucleic acid binding
GO:0008270,zinc ion binding
GO:0003677,DNA binding
GO:0006355,"regulation of transcription, DNA-templated"
GO:0000976,transcription regulatory region sequence-specific DNA binding
GO:0003700,DNA-binding transcription factor activity
GO:0035556,intracellular signal transduction
GO:0046872,metal ion binding
GO:0046331,lateral inhibition
GO:0005886,plasma membrane
GO:0007269,neurotransmitter secretion
GO:0016079,synaptic vesicle exocytosis
GO:0008021,synaptic vesicle
GO:0007268,chemical synaptic transmission
GO:0042734,presynaptic membrane
GO:0045211,postsynaptic membrane
GO:0005516,calmodulin binding
GO:0043195,terminal bouton
GO:0016082,synaptic vesicle priming
GO:0019992,diacylglycerol binding
GO:0048786,presynaptic active zone
GO:0007528,neuromuscular junction development
GO:0031594,neuromuscular junction
GO:0030672,synaptic vesicle membrane
GO:0035249,"synaptic transmission, glutamatergic"
GO:0098831,presynaptic active zone cytoplasmic component
GO:0017075,syntaxin-1 binding
GO:0016081,synaptic vesicle docking
GO:0016188,synaptic vesicle maturation
GO:0061789,dense core granule priming
GO:0099525,presynaptic dense core vesicle exocytosis
GO:0005509,calcium ion binding
GO:0005543,phospholipid binding
GO:0005622,intracellular
GO:0047485,protein N-terminus binding
GO:0043005,neuron projection
GO:0099069,synaptic vesicle tethering involved in synaptic vesicle exocytosis
GO:0006811,ion transport
GO:0007608,sensory perception of smell
GO:0005887,integral component of plasma membrane
GO:0007602,phototransduction
GO:0007603,"phototransduction, visible light"
GO:0071482,cellular response to light stimulus
GO:0070588,calcium ion transmembrane transport
GO:0050896,response to stimulus
GO:0035091,phosphatidylinositol binding
GO:0016059,deactivation of rhodopsin mediated signaling
GO:0006816,calcium ion transport
GO:0099132,ATP hydrolysis coupled cation transmembrane transport
GO:0005388,calcium-transporting ATPase activity
GO:0016029,subrhabdomeral cisterna
GO:0007601,visual perception
GO:0070300,phosphatidic acid binding
GO:0016056,rhodopsin mediated signaling pathway
GO:0046488,phosphatidylinositol metabolic process
GO:0008526,phosphatidylinositol transporter activity
GO:1990050,phosphatidic acid transporter activity
GO:0031210,phosphatidylcholine binding
GO:0008237,metallopeptidase activity
GO:0004177,aminopeptidase activity
GO:0042277,peptide binding
GO:0070006,metalloaminopeptidase activity
GO:0043171,peptide catabolic process
GO:0016491,oxidoreductase activity
GO:0055114,oxidation-reduction process
GO:0005739,mitochondrion
GO:0070469,respiratory chain
GO:0008137,NADH dehydrogenase (ubiquinone) activity
GO:0031966,mitochondrial membrane
GO:0003779,actin binding
GO:0007015,actin filament organization
GO:0016476,regulation of embryonic cell shape
GO:0007349,cellularization
GO:0005856,cytoskeleton
GO:0061024,membrane organization
GO:0007275,multicellular organism development
GO:0000915,actomyosin contractile ring assembly
GO:0001725,stress fiber
GO:0005884,actin filament
GO:0061572,actin filament bundle organization
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding"
GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding"
GO:0022900,electron transport chain
GO:0016651,"oxidoreductase activity, acting on NAD(P)H"
GO:0005747,mitochondrial respiratory chain complex I
GO:0032981,mitochondrial respiratory chain complex I assembly
GO:0004872,receptor activity
GO:0048749,compound eye development
GO:0098793,presynapse
GO:0045177,apical part of cell
GO:0016055,Wnt signaling pathway
GO:0007616,long-term memory
GO:0007614,short-term memory
GO:0050808,synapse organization
GO:0035317,imaginal disc-derived wing hair organization
GO:0005109,frizzled binding
GO:0001736,establishment of planar polarity
GO:0048104,establishment of body hair or bristle planar orientation
GO:0009986,cell surface
GO:0016197,endosomal transport
GO:0001737,establishment of imaginal disc-derived wing hair orientation
GO:0098930,axonal transport
GO:0030424,axon
GO:0015991,ATP hydrolysis coupled proton transport
GO:0090251,protein localization involved in establishment of planar polarity
GO:0042331,phototaxis
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway"
GO:0005110,frizzled-2 binding
GO:0099531,presynaptic process involved in chemical synaptic transmission
GO:0016471,vacuolar proton-transporting V-type ATPase complex
GO:0038023,signaling receptor activity
GO:0006357,regulation of transcription by RNA polymerase II
GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
GO:0000978,RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0016740,transferase activity
GO:0003824,catalytic activity
GO:0051536,iron-sulfur cluster binding
GO:0051539,"4 iron, 4 sulfur cluster binding"
GO:0008033,tRNA processing
GO:0006400,tRNA modification
GO:0035598,N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0061712,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
GO:0035600,tRNA methylthiolation
GO:0006629,lipid metabolic process
GO:0009922,fatty acid elongase activity
GO:0102336,3-oxo-arachidoyl-CoA synthase activity
GO:0102337,3-oxo-cerotoyl-CoA synthase activity
GO:0102338,3-oxo-lignoceronyl-CoA synthase activity
GO:0102756,very-long-chain 3-ketoacyl-CoA synthase activity
GO:0006631,fatty acid metabolic process
GO:0006633,fatty acid biosynthetic process
GO:0019367,"fatty acid elongation, saturated fatty acid"
GO:0030148,sphingolipid biosynthetic process
GO:0030497,fatty acid elongation
GO:0034625,"fatty acid elongation, monounsaturated fatty acid"
GO:0034626,"fatty acid elongation, polyunsaturated fatty acid"
GO:0042761,very long-chain fatty acid biosynthetic process
GO:0030176,integral component of endoplasmic reticulum membrane
GO:0005938,cell cortex
GO:0045747,positive regulation of Notch signaling pathway
GO:0031941,filamentous actin
GO:0045035,sensory organ precursor cell division
GO:0061864,basement membrane constituent secretion
GO:0110010,basolateral protein secretion
GO:0110011,regulation of basement membrane organization
GO:0005615,extracellular space
GO:0001700,embryonic development via the syncytial blastoderm
GO:0042048,olfactory behavior
GO:0048036,central complex development
GO:0050919,negative chemotaxis
GO:0030215,semaphorin receptor binding
GO:0045499,chemorepellent activity
GO:0001755,neural crest cell migration
GO:0030335,positive regulation of cell migration
GO:0048843,negative regulation of axon extension involved in axon guidance
GO:0071526,semaphorin-plexin signaling pathway
GO:0003723,RNA binding
GO:0006397,mRNA processing
GO:0035154,"terminal cell fate specification, open tracheal system"
GO:0030018,Z disc
GO:0008380,RNA splicing
GO:0015030,Cajal body
GO:0071254,cytoplasmic U snRNP body
GO:0009790,embryo development
GO:0098794,postsynapse
GO:0031674,I band
GO:0042802,identical protein binding
GO:0005681,spliceosomal complex
GO:0007274,neuromuscular synaptic transmission
GO:0000398,"mRNA splicing, via spliceosome"
GO:0030240,skeletal muscle thin filament assembly
GO:0007417,central nervous system development
GO:0002164,larval development
GO:0000387,spliceosomal snRNP assembly
GO:0032797,SMN complex
GO:0022618,ribonucleoprotein complex assembly
GO:0008345,larval locomotory behavior
GO:0051393,alpha-actinin binding
GO:0017145,stem cell division
GO:0032224,"positive regulation of synaptic transmission, cholinergic"
GO:0033962,cytoplasmic mRNA processing body assembly
GO:0045175,basal protein localization
GO:0048601,oocyte morphogenesis
GO:0048863,stem cell differentiation
GO:0051276,chromosome organization
GO:0060079,excitatory postsynaptic potential
GO:0072089,stem cell proliferation
GO:0072553,terminal button organization
GO:0097113,AMPA glutamate receptor clustering
GO:1990194,cytoplasmic U snRNP body assembly
GO:0034718,SMN-Gemin2 complex
GO:0034730,SmD-containing SMN-Sm protein complex
GO:0097504,Gemini of coiled bodies
GO:0009792,embryo development ending in birth or egg hatching
GO:0007165,signal transduction
GO:0008289,lipid binding
GO:0000166,nucleotide binding
GO:0005525,GTP binding
GO:0007264,small GTPase mediated signal transduction
GO:0006886,intracellular protein transport
GO:0016192,vesicle-mediated transport
GO:0022904,respiratory electron transport chain
GO:0007475,apposition of dorsal and ventral imaginal disc-derived wing surfaces
GO:0005730,nucleolus
GO:0003729,mRNA binding
GO:0006417,regulation of translation
GO:0030097,hemopoiesis
GO:0046983,protein dimerization activity
GO:0001077,"transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding"
GO:0006366,transcription by RNA polymerase II
GO:0043066,negative regulation of apoptotic process
GO:0007508,larval heart development
GO:0035050,embryonic heart tube development
GO:0032968,positive regulation of transcription elongation from RNA polymerase II promoter
GO:0016322,neuron remodeling
GO:0030054,cell junction
GO:0045202,synapse
GO:0006909,phagocytosis
GO:0035212,cell competition in a multicellular organism
GO:0048190,wing disc dorsal/ventral pattern formation
GO:0042742,defense response to bacterium
GO:0031410,cytoplasmic vesicle
GO:0042995,cell projection
GO:0035071,salivary gland cell autophagic cell death
GO:0043277,apoptotic cell clearance
GO:0048678,response to axon injury
GO:0001786,phosphatidylserine binding
GO:0006911,"phagocytosis, engulfment"
GO:0043652,engulfment of apoptotic cell
GO:0031224,intrinsic component of membrane
GO:0060100,"positive regulation of phagocytosis, engulfment"
GO:1904396,regulation of neuromuscular junction development
GO:0001891,phagocytic cup
GO:0045335,phagocytic vesicle
GO:0005700,polytene chromosome
GO:0010629,negative regulation of gene expression
GO:0000705,achiasmate meiosis I
GO:0016321,female meiosis chromosome segregation
GO:0007552,metamorphosis
GO:0090235,regulation of metaphase plate congression
GO:0042803,protein homodimerization activity
GO:0010906,regulation of glucose metabolic process
GO:0045944,positive regulation of transcription by RNA polymerase II
GO:0046982,protein heterodimerization activity
GO:0043565,sequence-specific DNA binding
GO:0060322,head development
GO:0006412,translation
GO:0003743,translation initiation factor activity
GO:0006413,translational initiation
GO:0001731,formation of translation preinitiation complex
GO:0006446,regulation of translational initiation
GO:0005852,eukaryotic translation initiation factor 3 complex
GO:0016282,eukaryotic 43S preinitiation complex
GO:0033290,eukaryotic 48S preinitiation complex
GO:0031369,translation initiation factor binding
GO:0001732,formation of cytoplasmic translation initiation complex
GO:0002183,cytoplasmic translational initiation
GO:0048728,proboscis development
GO:0007381,"specification of segmental identity, labial segment"
GO:0007382,"specification of segmental identity, maxillary segment"
GO:0005777,peroxisome
GO:0016853,isomerase activity
GO:0004452,isopentenyl-diphosphate delta-isomerase activity
GO:0008299,isoprenoid biosynthetic process
GO:0009240,isopentenyl diphosphate biosynthetic process
GO:0003735,structural constituent of ribosome
GO:0005840,ribosome
GO:0030529,intracellular ribonucleoprotein complex
GO:0032543,mitochondrial translation
GO:0005762,mitochondrial large ribosomal subunit
GO:0006491,N-glycan processing
GO:0016779,nucleotidyltransferase activity
GO:0003714,transcription corepressor activity
GO:0008134,transcription factor binding
GO:1901838,positive regulation of transcription of nucleolar large rRNA by RNA polymerase I
GO:0003887,DNA-directed DNA polymerase activity
GO:0071897,DNA biosynthetic process
GO:1903507,negative regulation of nucleic acid-templated transcription
GO:0090070,positive regulation of ribosome biogenesis
GO:0006893,Golgi to plasma membrane transport
GO:0035220,wing disc development
GO:0016746,"transferase activity, transferring acyl groups"
GO:0022416,chaeta development
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups"
GO:0006897,endocytosis
GO:0042147,"retrograde transport, endosome to Golgi"
GO:0030139,endocytic vesicle
GO:0008104,protein localization
GO:0045893,"positive regulation of transcription, DNA-templated"
GO:0071456,cellular response to hypoxia
GO:0035327,transcriptionally active chromatin
GO:0003924,GTPase activity
GO:0031982,vesicle
GO:0043025,neuronal cell body
GO:0005768,endosome
GO:0055037,recycling endosome
GO:0030100,regulation of endocytosis
GO:0032482,Rab protein signal transduction
GO:0007299,ovarian follicle cell-cell adhesion
GO:0005813,centrosome
GO:0030178,negative regulation of Wnt signaling pathway
GO:0008536,Ran GTPase binding
GO:0046907,intracellular transport
GO:0006611,protein export from nucleus
GO:0051168,nuclear export
GO:0090090,negative regulation of canonical Wnt signaling pathway
GO:0005643,nuclear pore
GO:0043547,positive regulation of GTPase activity
GO:0006511,ubiquitin-dependent protein catabolic process
GO:0007051,spindle organization
GO:0005096,GTPase activator activity
GO:0000082,G1/S transition of mitotic cell cycle
GO:0006405,RNA export from nucleus
GO:0006606,protein import into nucleus
GO:0046604,positive regulation of mitotic centrosome separation
GO:0002121,inter-male aggressive behavior
GO:0030431,sleep
GO:0008049,male courtship behavior
GO:0051260,protein homooligomerization
GO:0090327,negative regulation of locomotion involved in locomotory behavior
GO:0007291,sperm individualization
GO:0017148,negative regulation of translation
GO:0007283,spermatogenesis
GO:0000900,"translation repressor activity, mRNA regulatory element binding"
GO:0003730,mRNA 3'-UTR binding
GO:0048471,perinuclear region of cytoplasm
GO:0051301,cell division
GO:0044297,cell body
GO:0007288,sperm axoneme assembly
GO:0008356,asymmetric cell division
GO:0030154,cell differentiation
GO:0045182,translation regulator activity
GO:0043679,axon terminus
GO:0045727,positive regulation of translation
GO:0030425,dendrite
GO:0043204,perikaryon
GO:0007141,male meiosis I
GO:0043022,ribosome binding
GO:0008135,"translation factor activity, RNA binding"
GO:2000766,negative regulation of cytoplasmic translation
GO:1990124,messenger ribonucleoprotein complex
GO:0044292,dendrite terminus
GO:0008494,translation activator activity
GO:0097060,synaptic membrane
GO:0009058,biosynthetic process
GO:0042439,ethanolamine-containing compound metabolic process
GO:0005576,extracellular region
GO:0005549,odorant binding
GO:0007606,sensory perception of chemical stimulus
GO:1990834,response to odorant
GO:0004252,serine-type endopeptidase activity
GO:0008236,serine-type peptidase activity
GO:0032947,protein-containing complex scaffold activity
GO:0043248,proteasome assembly
GO:0016791,phosphatase activity
GO:0016462,pyrophosphatase activity
GO:0000993,RNA polymerase II complex binding
GO:0016570,histone modification
GO:0016593,Cdc73/Paf1 complex
GO:0042169,SH2 domain binding
GO:0051569,regulation of histone H3-K4 methylation
GO:0000278,mitotic cell cycle
GO:0005815,microtubule organizing center
GO:0000226,microtubule cytoskeleton organization
GO:0043015,gamma-tubulin binding
GO:0007020,microtubule nucleation
GO:0000922,spindle pole
GO:0005200,structural constituent of cytoskeleton
GO:0090307,mitotic spindle assembly
GO:0008274,gamma-tubulin ring complex
GO:0031122,cytoplasmic microtubule organization
GO:0051011,microtubule minus-end binding
GO:0051321,meiotic cell cycle
GO:0051415,microtubule nucleation by interphase microtubule organizing center
GO:0000923,equatorial microtubule organizing center
GO:0008275,gamma-tubulin small complex
GO:0000930,gamma-tubulin complex
GO:0005816,spindle pole body
