gene_name,ensembl,description,entrezgene
CG6244,FBgn0036531,,2768962
kat-60L1,FBgn0037375,katanin p60-like 1 [Source:FlyBase;Acc:FBgn0037375],40715
CG7970,FBgn0035252,,38205
mei-217,FBgn0028581,,3771806
CG15909,FBgn0033090,,35572
CR43303,FBgn0262995,,NA
Rhau,FBgn0032883,RHAU helicase [Source:FlyBase;Acc:FBgn0032883],35339
cdi,FBgn0004876,center divider [Source:FlyBase;Acc:FBgn0004876],42289
CR43250,FBgn0262895,,NA
CG13247,FBgn0036979,,40247
Ccp84Aa,FBgn0004783,,40825
CG31253,FBgn0051253,,318603
CG31253,FBgn0051253,,318646
CR46042,FBgn0267709,,NA
Obp56g,FBgn0034474,Odorant-binding protein 56g [Source:FlyBase;Acc:FBgn0034474],37270
mir-987,FBgn0262220,mir-987 stem loop [Source:FlyBase;Acc:FBgn0262220],NA
His1:CG33843,FBgn0053843,,3771879
His1:CG33843,FBgn0053843,,3772665
His1:CG33843,FBgn0053843,,3771910
His1:CG33843,FBgn0053843,,3771838
His1:CG33843,FBgn0053843,,3772225
His1:CG33843,FBgn0053843,,3772702
His1:CG33843,FBgn0053843,,3772715
His1:CG33843,FBgn0053843,,3772077
His1:CG33843,FBgn0053843,,3771803
His1:CG33843,FBgn0053843,,3771981
His1:CG33843,FBgn0053843,,3771816
His1:CG33843,FBgn0053843,,318854
His1:CG33843,FBgn0053843,,3772409
His1:CG33843,FBgn0053843,,3771912
His1:CG33843,FBgn0053843,,3771818
His1:CG33843,FBgn0053843,,3772004
His1:CG33843,FBgn0053843,,3772075
CR44134,FBgn0264983,,NA
CG3770,FBgn0035085,,37991
CR44740,FBgn0265953,,NA
pre-mod(mdg4)-L,FBgn0266174,,19835907
Tim17b,FBgn0263977,Translocase of the inner mitochondrial membrane 17b [Source:FlyBase;Acc:FBgn0263977],3355107
Pde1c,FBgn0264815,Phosphodiesterase 1c [Source:FlyBase;Acc:FBgn0264815],34594
CG17189,FBgn0039485,,43263
ORY,FBgn0046323,Occludin-Related Y [Source:FlyBase;Acc:FBgn0046323],3355174
Tim13,FBgn0036204,,39327
CG12863,FBgn0033948,,36623
CR31781,FBgn0051781,,NA
CG17746,FBgn0035425,,38400
CG30428,FBgn0050428,,246608
Acox57D-d,FBgn0034629,acyl-Coenzyme A oxidase at 57D distal [Source:FlyBase;Acc:FBgn0034629],37446
dtr,FBgn0023090,defective transmitter release [Source:FlyBase;Acc:FBgn0023090],318856
