gene_name,ensembl,description,entrezgene
AER,AT5G16970,NADPH-dependent oxidoreductase 2-alkenal reductase [Source:UniProtKB/Swiss-Prot;Acc:Q39172],831560
,AT4G32100,"Beta-1,3-N-Acetylglucosaminyltransferase family protein [Source:UniProtKB/TrEMBL;Acc:F4JTI5]",829341
,AT2G43120,RmlC-like cupins superfamily protein [Source:TAIR;Acc:AT2G43120],818914
,AT1G30814,unknown protein; Ha. [Source:TAIR;Acc:AT1G30814],3766853
PUB29,AT3G18710,RING-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:A0A178VJJ8],821402
APUM6,AT4G25880,pumilio 6 [Source:TAIR;Acc:AT4G25880],828694
,AT1G78930,Mitochondrial transcription termination factor family protein [Source:UniProtKB/TrEMBL;Acc:Q0WRV2],844232
RBL19,AT3G07950,Rhomboid-like protein 19 [Source:UniProtKB/Swiss-Prot;Acc:Q8LF05],819986
,AT4G03450,Ankyrin repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZT73],827913
PER12,AT1G71695,Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A178WB34],843498
RPS2B,AT1G58983,40S ribosomal protein S2-2 [Source:UniProtKB/Swiss-Prot;Acc:Q93VB8],842229
RPS2B,AT1G58983,40S ribosomal protein S2-2 [Source:UniProtKB/Swiss-Prot;Acc:Q93VB8],842237
RPS2B,AT1G58983,40S ribosomal protein S2-2 [Source:UniProtKB/Swiss-Prot;Acc:Q93VB8],842222
ESR1,AT1G12980,Ethylene-responsive transcription factor ESR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAD4],837856
DHFS,AT5G41480,Dihydrofolate synthetase [Source:UniProtKB/Swiss-Prot;Acc:F4JYE9],834149
,AT5G15008,unknown protein; Ha. [Source:TAIR;Acc:AT5G15008],6240278
EAAC,AT3G51870,"Probable envelope ADP,ATP carrier protein, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O65023]",824350
,AT4G29950,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SZR5],829118
,AT3G18310,TATA box-binding protein associated factor RNA polymerase I subunit C [Source:UniProtKB/TrEMBL;Acc:Q9LS59],821360
,AT5G07360,Amidase family protein [Source:UniProtKB/TrEMBL;Acc:F4K6N3],830627
,AT4G08535,F-box SKIP17-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8B460],28719998
,AT4G26490,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:UniProtKB/TrEMBL;Acc:Q56Y59],828755
KAT1,AT5G46240,At5g46240 [Source:UniProtKB/TrEMBL;Acc:Q67YG3],834666
AHL6,AT5G62260,AT-hook motif nuclear-localized protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LVB0],836347
,AT4G16955,,28720139
RTFL16,AT3G25717,DVL6 [Source:UniProtKB/TrEMBL;Acc:Q6IM95],822160
,AT1G45223,ECA1 gametogenesis family protein (DUF784) [Source:UniProtKB/TrEMBL;Acc:A7REF3],5007780
CYP71B8,AT5G35715,"cytochrome P450, family 71, subfamily B, polypeptide 8 [Source:TAIR;Acc:AT5G35715]",NA
,AT5G41908,unknown protein; LOCATED IN: endomembrane system; Ha. [Source:TAIR;Acc:AT5G41908],28721241
,AT2G21390,Coatomer subunit alpha-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJT9],816678
PIMT1,AT3G48330,Protein-L-isoaspartate O-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LP18],823991
PERK14,AT4G32710,PERK14 [Source:UniProtKB/TrEMBL;Acc:A0A178V367],3770575
UXS5,AT3G46440,UDP-glucuronic acid decarboxylase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SN95],823794
,AT2G21930,F-box protein At2g21930 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ06],816729
,AT3G53910,Malate dehydrogenase-like protein [Source:UniProtKB/TrEMBL;Acc:Q9M335],824558
RBOHG,AT4G25090,Putative respiratory burst oxidase homolog protein G [Source:UniProtKB/Swiss-Prot;Acc:Q9SW17],828612
VEL3,AT2G18870,Vernalization5/VIN3-like protein [Source:UniProtKB/TrEMBL;Acc:F4IRH5],816402
VBF,AT1G56250,F-box protein VBF [Source:UniProtKB/Swiss-Prot;Acc:Q9C7K0],842078
TPR2,AT3G16830,Topless-related protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRZ0],820936
,AT5G20470,Myosin [Source:UniProtKB/TrEMBL;Acc:F4K5I9],832169
NAS1,AT5G04950,Nicotianamine synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF79],830377
,AT4G13720,Inosine triphosphate pyrophosphatase family protein [Source:TAIR;Acc:AT4G13720],827006
,AT5G50110,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K7J0],835075
,AT3G03305,Putative metallophosphoesterase At3g03305 [Source:UniProtKB/Swiss-Prot;Acc:Q0WVZ1],821291
,AT5G66670,UPF0496 protein At5g66670 [Source:UniProtKB/Swiss-Prot;Acc:Q9LVR3],836799
,AT4G08039,Putative defensin-like protein 312 [Source:UniProtKB/Swiss-Prot;Acc:Q2V3K9],3770167
PYL4,AT2G38310,Abscisic acid receptor PYL4 [Source:UniProtKB/Swiss-Prot;Acc:O80920],818411
BASS2,AT2G26900,BASS2 [Source:UniProtKB/TrEMBL;Acc:A0A178VXV9],817231
RAX1,AT5G23000,Transcription factor RAX1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FG68],832364
,AT1G66852,Carbohydrate-binding X8 domain superfamily protein [Source:UniProtKB/TrEMBL;Acc:B3H5T6],6240329
WRKY36,AT1G69810,At1g69810 [Source:UniProtKB/TrEMBL;Acc:Q058I4],843317
TIFY11B,AT1G72450,TIFY11B [Source:UniProtKB/TrEMBL;Acc:A0A178W2J3],843577
,AT5G03560,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4KGN4],831789
,AT4G27340,tRNA (guanine(37)-N1)-methyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q6NQ64],828842
,AT1G76280,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:TAIR;Acc:AT1G76280],843961
,AT3G03272,Prolamin-like protein (DUF1278) [Source:UniProtKB/TrEMBL;Acc:A7RED5],5007980
AVT1I,AT3G28960,Amino acid transporter AVT1I [Source:UniProtKB/Swiss-Prot;Acc:F4J1Q9],822536
DEGP3,AT1G65630,"Putative protease Do-like 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SHZ1]",842874
,AT3G10210,AT3g10210/F14P13_19 [Source:UniProtKB/TrEMBL;Acc:Q9SS33],820183
BGLU10,AT4G27830,Beta-glucosidase 10 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZI4],828896
AtRLP11,AT1G71390,receptor like protein 11 [Source:TAIR;Acc:AT1G71390],843480
,AT5G46260,Disease resistance protein (TIR-NBS-LRR class) family [Source:UniProtKB/TrEMBL;Acc:Q9FL35],834668
