gene_name,ensembl,description,entrezgene
aap-1,WBGene00000001,Phosphoinositide 3-kinase adapter subunit; Phosphoinositide kinase AdAPter subunit  [Source:UniProtKB/TrEMBL;Acc:G5EDP9],172141
aat-1,WBGene00000002,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19834],177793
aat-2,WBGene00000003,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19151],184126
aat-3,WBGene00000004,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O17395],180557
aat-4,WBGene00000005,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q7YXH5],177388
aat-5,WBGene00000006,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9],171814
aat-6,WBGene00000007,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:B2D6M4],188421
aat-7,WBGene00000008,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O44832],186240
aat-8,WBGene00000009,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q94197],185079
aat-9,WBGene00000010,Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0],190250
abf-1,WBGene00000012,Antibacterial factor-related peptide 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC4],266827
abf-2,WBGene00000013,Antibacterial factor-related peptide 2  [Source:UniProtKB/Swiss-Prot;Acc:G5EC68],266826
abf-3,WBGene00000014,AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:O45563],186202
abf-4,WBGene00000015,AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9XX40],189702
abf-5,WBGene00000016,ABF-5; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EFQ2],188770
abf-6,WBGene00000017,ABF-6; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EBS3],181418
abl-1,WBGene00000018,Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949],181261
abt-1,WBGene00000019,ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3],182849
abt-2,WBGene00000020,ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86],171782
abt-3,WBGene00000021,,NA
abt-4,WBGene00000022,ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9TXV8],178559
abt-5,WBGene00000023,ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9XW49],173081
abu-1,WBGene00000024,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q17400],181800
abu-2,WBGene00000025,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q19594],184695
abu-3,WBGene00000026,,NA
abu-4,WBGene00000027,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q86S74],353458
abu-5,WBGene00000028,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q9NF70],190870
abu-6,WBGene00000029,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16501],178903
abu-7,WBGene00000030,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16502],182139
abu-8,WBGene00000031,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16511],178904
abu-9,WBGene00000032,Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7],187749
abu-9,WBGene00000032,Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7],187751
abu-10,WBGene00000033,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q20002],185248
abu-11,WBGene00000034,Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:P91419],173404
ace-1,WBGene00000035,Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433],181706
ace-2,WBGene00000036,Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDV9],171905
ace-3,WBGene00000037,Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:Q9U295],175076
ace-4,WBGene00000038,Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDN1],175074
acn-1,WBGene00000039,Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581],180780
aco-1,WBGene00000040,Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500],181324
aco-2,WBGene00000041,"Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]",176121
acr-2,WBGene00000042,Acetylcholine receptor subunit beta-type acr-2  [Source:UniProtKB/Swiss-Prot;Acc:P48182],180936
acr-3,WBGene00000043,Acetylcholine receptor subunit beta-type acr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93149],180937
acr-5,WBGene00000044,Acetylcholine receptor subunit alpha-type acr-5  [Source:UniProtKB/Swiss-Prot;Acc:P54246],191596
acr-6,WBGene00000045,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q9N4M3],191479
acr-7,WBGene00000046,Acetylcholine receptor subunit alpha-type acr-7  [Source:UniProtKB/Swiss-Prot;Acc:P45963],174262
acr-8,WBGene00000047,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q23355],181246
acr-9,WBGene00000048,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q18556],191597
acr-10,WBGene00000049,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q21645],191598
acr-11,WBGene00000050,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:P91197],191599
acr-12,WBGene00000051,AcetylCholine Receptor; Nicotinic acetylcholine receptor-like subunit ACR-12  [Source:UniProtKB/TrEMBL;Acc:G5EDF1],181475
acr-14,WBGene00000053,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q22224],191601
acr-15,WBGene00000054,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:O16926],191602
acr-16,WBGene00000055,Acetylcholine receptor subunit alpha-type acr-16  [Source:UniProtKB/Swiss-Prot;Acc:P48180],179235
acr-17,WBGene00000056,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q6F6K3],191603
acr-18,WBGene00000057,"AcetylCholine Receptor; Acetylcholine receptor, one of nine alpha a7-like nicotinic acetylcholine receptor subunits (58.6 kD) (Acr-18)  [Source:UniProtKB/TrEMBL;Acc:G5EG72]",191604
acr-19,WBGene00000058,AcetylCholine Receptor; Acetylcholine receptor (63.2 kD) (Acr-19)  [Source:UniProtKB/TrEMBL;Acc:G5EGB5],191605
acr-20,WBGene00000059,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q7JKI4],187632
acr-21,WBGene00000060,AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q9N5U8],185004
lgc-11,WBGene00000061,Acetylcholine receptor (51.1 kD) (Acr-22); Ligand-Gated ion Channel  [Source:UniProtKB/TrEMBL;Acc:G5EGR1],181009
acr-23,WBGene00000062,Betaine receptor acr-23  [Source:UniProtKB/Swiss-Prot;Acc:G5EG88],191606
act-1,WBGene00000063,Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41],179533
act-1,WBGene00000063,Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41],179535
act-2,WBGene00000064,Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984],179534
act-3,WBGene00000065,Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41],179533
act-3,WBGene00000065,Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41],179535
act-4,WBGene00000066,Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986],180767
act-5,WBGene00000067,ACTin  [Source:UniProtKB/TrEMBL;Acc:O45815],176793
acy-1,WBGene00000068,Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q19523],175622
acy-2,WBGene00000069,Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:O16880],191607
acy-3,WBGene00000070,Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:G5EE33],175489
acy-4,WBGene00000071,Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q966F9],178949
add-1,WBGene00000072,Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0],180760
add-2,WBGene00000073,Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952],179647
adm-2,WBGene00000074,ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:G5EDW5],181489
adm-4,WBGene00000075,ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:Q94316],181041
adr-1,WBGene00000079,Adenosine Deaminase acting on RNA; Truncated ADR-1F  [Source:UniProtKB/TrEMBL;Acc:G5EG30],172542
adr-2,WBGene00000080,Probable double-stranded RNA-specific adenosine deaminase  [Source:UniProtKB/Swiss-Prot;Acc:Q22618],176022
ads-1,WBGene00000081,Alkyldihydroxyacetonephosphate synthase  [Source:UniProtKB/Swiss-Prot;Acc:O45218],175192
adt-1,WBGene00000082,ADAMTS family; ADT-1  [Source:UniProtKB/TrEMBL;Acc:G5ECS8],181412
adt-2,WBGene00000083,ADAMTS family; ADAMTS-like protease  [Source:UniProtKB/TrEMBL;Acc:Q19204],181022
aex-1,WBGene00000084,C2 domain-containing protein aex-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEU3],172519
aex-2,WBGene00000085,G-protein coupled receptor aex-2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECD9],188491
aex-3,WBGene00000086,MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626],180420
aex-5,WBGene00000088,Endoprotease aex-5  [Source:UniProtKB/Swiss-Prot;Acc:P91863],173358
aex-6,WBGene00000089,Rab27  [Source:UniProtKB/TrEMBL;Acc:G5EBS5],173223
age-1,WBGene00000090,Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125],174762
ags-3,WBGene00000092,Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:Q19955],180801
agt-1,WBGene00000093,AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q2HQK2],190454
agt-2,WBGene00000094,AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q19263],184244
aha-1,WBGene00000095,Aryl hydrocarbon receptor nuclear translocator homolog  [Source:UniProtKB/Swiss-Prot;Acc:O02219],172889
ahr-1,WBGene00000096,Aryl hydrocarbon receptor protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44712],172788
aip-1,WBGene00000097,Arsenite Inducible Protein  [Source:UniProtKB/TrEMBL;Acc:Q9XUW8],179898
