gene_name,ensembl,description,entrezgene
,ENSMFAG00000000001,,NA
,ENSMFAG00000000002,,NA
,ENSMFAG00000000003,,NA
,ENSMFAG00000000004,,NA
,ENSMFAG00000000005,,NA
,ENSMFAG00000000006,,NA
,ENSMFAG00000000007,,NA
,ENSMFAG00000000008,,NA
,ENSMFAG00000000009,,NA
,ENSMFAG00000000010,,NA
,ENSMFAG00000000011,,NA
,ENSMFAG00000000012,,NA
,ENSMFAG00000000013,,NA
,ENSMFAG00000000014,,NA
,ENSMFAG00000000015,,NA
,ENSMFAG00000000016,,NA
,ENSMFAG00000000017,,NA
,ENSMFAG00000000018,,NA
,ENSMFAG00000000019,,NA
,ENSMFAG00000000020,,NA
,ENSMFAG00000000021,,NA
,ENSMFAG00000000022,,NA
,ENSMFAG00000000023,,NA
,ENSMFAG00000000024,,NA
RNF151,ENSMFAG00000035160,ring finger protein 151 [Source:HGNC Symbol;Acc:HGNC:23235],102134556
,ENSMFAG00000035161,olfactory receptor 5P3 [Source:NCBI gene;Acc:102127155],102127155
,ENSMFAG00000035162,,NA
,ENSMFAG00000035163,,102126052
PCP4L1,ENSMFAG00000035164,Purkinje cell protein 4 like 1 [Source:HGNC Symbol;Acc:HGNC:20448],101865404
ASIC1,ENSMFAG00000035165,acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100],102146411
ELSPBP1,ENSMFAG00000035166,epididymal sperm binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14417],102131368
CNRIP1,ENSMFAG00000035167,cannabinoid receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24546],102137887
IL24,ENSMFAG00000035168,interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346],102135102
PODXL,ENSMFAG00000035169,podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171],102146151
PTPN3,ENSMFAG00000035170,"protein tyrosine phosphatase, non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]",102132206
,ENSMFAG00000035171,mitogen-activated protein kinase kinase kinase 8-like [Source:NCBI gene;Acc:102116023],102116023
ABRAXAS2,ENSMFAG00000035172,"abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]",101866013
SPON2,ENSMFAG00000035173,spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253],102119846
,ENSMFAG00000035174,syntaxin-4-like [Source:NCBI gene;Acc:102136620],102136620
,ENSMFAG00000035175,,NA
ADORA1,ENSMFAG00000035176,adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262],101866265
,ENSMFAG00000035177,,NA
RARRES3,ENSMFAG00000035178,retinoic acid receptor responder 3 [Source:HGNC Symbol;Acc:HGNC:9869],102117508
CAPZA1,ENSMFAG00000035179,capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488],101866335
PDK4,ENSMFAG00000035180,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812],102119067
ERICH4,ENSMFAG00000035181,glutamate rich 4 [Source:HGNC Symbol;Acc:HGNC:34497],102145070
RF00554,ENSMFAG00000035182,"small nucleolar RNA, H/ACA box 48B [Source:HGNC Symbol;Acc:HGNC:52207]",NA
RF00026,ENSMFAG00000035183,"RNA, U6 small nuclear 543, pseudogene [Source:HGNC Symbol;Acc:HGNC:47506]",NA
RF00019,ENSMFAG00000035184,,NA
RF00100,ENSMFAG00000035186,"RNA, 7SK small nuclear pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:45776]",NA
RF00026,ENSMFAG00000035187,,NA
HNRNPAB,ENSMFAG00000035188,heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034],102116911
,ENSMFAG00000035190,"cytochrome c oxidase subunit 7C, mitochondrial [Source:NCBI gene;Acc:102137362]",102137362
ZNF662,ENSMFAG00000035191,zinc finger protein 662 [Source:HGNC Symbol;Acc:HGNC:31930],102132987
,ENSMFAG00000035195,neuroendocrine secretory protein 55 [Source:NCBI gene;Acc:107126444],107126444
OR5AN1,ENSMFAG00000035196,olfactory receptor family 5 subfamily AN member 1 [Source:HGNC Symbol;Acc:HGNC:15255],102140278
RF00026,ENSMFAG00000035197,,NA
,ENSMFAG00000035198,,NA
,ENSMFAG00000035199,,NA
RF00554,ENSMFAG00000035205,,NA
RF00019,ENSMFAG00000035208,,NA
RF00026,ENSMFAG00000035209,"RNA, U6 small nuclear 835, pseudogene [Source:HGNC Symbol;Acc:HGNC:47798]",NA
RF00026,ENSMFAG00000035210,"RNA, U6 small nuclear 270, pseudogene [Source:HGNC Symbol;Acc:HGNC:47233]",NA
MIR326,ENSMFAG00000035211,microRNA 326 [Source:HGNC Symbol;Acc:HGNC:31769],NA
FAM160A1,ENSMFAG00000035212,family with sequence similarity 160 member A1 [Source:HGNC Symbol;Acc:HGNC:34237],102147160
URM1,ENSMFAG00000035214,ubiquitin related modifier 1 [Source:NCBI gene;Acc:101866208],101866208
RF00026,ENSMFAG00000035216,"RNA, U6 small nuclear 1106, pseudogene [Source:HGNC Symbol;Acc:HGNC:48069]",NA
NRSN2,ENSMFAG00000035222,neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229],102128272
,ENSMFAG00000035223,,NA
,ENSMFAG00000035224,serine protease 40-like [Source:NCBI gene;Acc:102140772],102140772
RPL19,ENSMFAG00000035226,ribosomal protein L19 [Source:NCBI gene;Acc:101926814],101926814
RHEBL1,ENSMFAG00000035227,RHEB like 1 [Source:HGNC Symbol;Acc:HGNC:21166],101865083
RF00100,ENSMFAG00000035228,"RNA, 7SK small nuclear pseudogene 59 [Source:HGNC Symbol;Acc:HGNC:45783]",NA
NOP10,ENSMFAG00000035229,NOP10 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14378],102132059
RF00263,ENSMFAG00000035231,,NA
ARL8B,ENSMFAG00000035233,ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564],102125939
,ENSMFAG00000035236,,NA
RF00026,ENSMFAG00000035237,,NA
RF00026,ENSMFAG00000035238,,NA
RF00026,ENSMFAG00000035239,"RNA, U6 small nuclear 772, pseudogene [Source:HGNC Symbol;Acc:HGNC:47735]",NA
RF00100,ENSMFAG00000035240,"RNA, 7SK small nuclear pseudogene 156 [Source:HGNC Symbol;Acc:HGNC:45880]",NA
RF00019,ENSMFAG00000035241,,NA
,ENSMFAG00000035245,,NA
GMPPB,ENSMFAG00000035247,GDP-mannose pyrophosphorylase B [Source:HGNC Symbol;Acc:HGNC:22932],102119178
FAM227B,ENSMFAG00000035254,family with sequence similarity 227 member B [Source:HGNC Symbol;Acc:HGNC:26543],101866412
RF00100,ENSMFAG00000035255,"RNA, 7SK small nuclear pseudogene 233 [Source:HGNC Symbol;Acc:HGNC:45957]",NA
KLHDC2,ENSMFAG00000035256,kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231],102131042
FAM122A,ENSMFAG00000035257,family with sequence similarity 122A [Source:NCBI gene;Acc:101926650],101926650
RF00026,ENSMFAG00000035258,"RNA, U6 small nuclear 246, pseudogene [Source:HGNC Symbol;Acc:HGNC:47209]",NA
RF00026,ENSMFAG00000035259,"RNA, U6 small nuclear 1157, pseudogene [Source:HGNC Symbol;Acc:HGNC:48120]",NA
RF00026,ENSMFAG00000035260,"RNA, U6 small nuclear 926, pseudogene [Source:HGNC Symbol;Acc:HGNC:47889]",NA
MIR4743,ENSMFAG00000035261,microRNA 4743 [Source:HGNC Symbol;Acc:HGNC:41894],NA
MIR520B,ENSMFAG00000035262,microRNA 520b [Source:HGNC Symbol;Acc:HGNC:32105],NA
RF00019,ENSMFAG00000035263,,NA
,ENSMFAG00000035266,,NA
FGD1,ENSMFAG00000035269,"FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]",102132654
TBC1D21,ENSMFAG00000035270,TBC1 domain family member 21 [Source:HGNC Symbol;Acc:HGNC:28536],102132943
,ENSMFAG00000035274,,NA
RF00020,ENSMFAG00000035275,"RNA, U5A small nuclear 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:42529]",NA
RF00026,ENSMFAG00000035276,"RNA, U6 small nuclear 297, pseudogene [Source:HGNC Symbol;Acc:HGNC:47260]",NA
RF00100,ENSMFAG00000035277,,NA
RF00019,ENSMFAG00000035278,,NA
RF00100,ENSMFAG00000035279,"RNA, 7SK small nuclear pseudogene 164 [Source:HGNC Symbol;Acc:HGNC:45888]",NA
RF00026,ENSMFAG00000035280,,NA
,ENSMFAG00000035291,,NA
,ENSMFAG00000035292,,NA
RF00026,ENSMFAG00000035293,"RNA, U6 small nuclear 565, pseudogene [Source:HGNC Symbol;Acc:HGNC:47528]",NA
RF00026,ENSMFAG00000035294,"RNA, U6 small nuclear 684, pseudogene [Source:HGNC Symbol;Acc:HGNC:47647]",NA
RF00019,ENSMFAG00000035295,,NA
RF00100,ENSMFAG00000035297,,NA
MIR33A,ENSMFAG00000035298,microRNA 33a [Source:HGNC Symbol;Acc:HGNC:31634],NA
RF00026,ENSMFAG00000035299,"RNA, U6 small nuclear 1138, pseudogene [Source:HGNC Symbol;Acc:HGNC:48101]",NA
,ENSMFAG00000035304,,NA
NR2C1,ENSMFAG00000035305,nuclear receptor subfamily 2 group C member 1 [Source:NCBI gene;Acc:102136205],102136205
RF00026,ENSMFAG00000035306,,NA
RF00026,ENSMFAG00000035307,"RNA, U6 small nuclear 274, pseudogene [Source:HGNC Symbol;Acc:HGNC:47237]",NA
RF00019,ENSMFAG00000035310,,NA
SOCS1,ENSMFAG00000035312,suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383],102135411
RF00100,ENSMFAG00000035313,"RNA, 7SK small nuclear pseudogene 253 [Source:HGNC Symbol;Acc:HGNC:45977]",NA
RF00019,ENSMFAG00000035314,,NA
RF00139,ENSMFAG00000035315,,NA
RNF187,ENSMFAG00000035159,ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146],102125535
SEC23A,ENSMFAG00000035158,"Sec23 homolog A, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10701]",102129494
MYH9,ENSMFAG00000035156,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],102117220
RF00019,ENSMFAG00000035153,,NA
RF00026,ENSMFAG00000035152,"RNA, U6 small nuclear 247, pseudogene [Source:HGNC Symbol;Acc:HGNC:47210]",NA
USP27X,ENSMFAG00000035150,ubiquitin specific peptidase 27 X-linked [Source:HGNC Symbol;Acc:HGNC:13486],NA
,ENSMFAG00000035149,,NA
RF00026,ENSMFAG00000035148,,NA
,ENSMFAG00000035147,,NA
RF00019,ENSMFAG00000035142,,NA
RF02115,ENSMFAG00000035141,,NA
RF00026,ENSMFAG00000035138,"RNA, U6 small nuclear 1117, pseudogene [Source:HGNC Symbol;Acc:HGNC:48080]",NA
RF00019,ENSMFAG00000035134,,NA
,ENSMFAG00000035133,,NA
RF00100,ENSMFAG00000035132,"RNA, 7SK small nuclear pseudogene 123 [Source:HGNC Symbol;Acc:HGNC:45847]",NA
,ENSMFAG00000035131,,NA
RF00026,ENSMFAG00000035130,,NA
,ENSMFAG00000035129,,NA
IQCF6,ENSMFAG00000035127,IQ motif containing F6 [Source:HGNC Symbol;Acc:HGNC:35158],NA
RF00026,ENSMFAG00000035126,"RNA, U6 small nuclear 1158, pseudogene [Source:HGNC Symbol;Acc:HGNC:48121]",NA
RF00139,ENSMFAG00000035125,,NA
RF00019,ENSMFAG00000035123,,NA
MIR6812,ENSMFAG00000035122,microRNA 6812 [Source:HGNC Symbol;Acc:HGNC:50116],NA
,ENSMFAG00000035118,,NA
RF00019,ENSMFAG00000035112,,NA
MIR302D,ENSMFAG00000035111,microRNA 302d [Source:HGNC Symbol;Acc:HGNC:31765],NA
RF00026,ENSMFAG00000035110,"RNA, U6 small nuclear 826, pseudogene [Source:HGNC Symbol;Acc:HGNC:47789]",NA
KREMEN1,ENSMFAG00000035109,kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550],102146268
RF00026,ENSMFAG00000035108,"RNA, U6 small nuclear 264, pseudogene [Source:HGNC Symbol;Acc:HGNC:47227]",NA
RF00019,ENSMFAG00000035107,"RNA, Ro-associated Y4 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42474]",NA
,ENSMFAG00000035106,,NA
RF00334,ENSMFAG00000035105,,NA
POLD1,ENSMFAG00000035104,"DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]",102124147
CC2D2A,ENSMFAG00000035103,coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29253],102120746
,ENSMFAG00000035100,,NA
,ENSMFAG00000035099,,NA
,ENSMFAG00000035098,,NA
RF00026,ENSMFAG00000035093,"RNA, U6 small nuclear 1130, pseudogene [Source:HGNC Symbol;Acc:HGNC:48093]",NA
RF00026,ENSMFAG00000035090,"RNA, U6 small nuclear 1105, pseudogene [Source:HGNC Symbol;Acc:HGNC:48068]",NA
RF00334,ENSMFAG00000035089,,NA
RF00019,ENSMFAG00000035088,,NA
MIR3618,ENSMFAG00000035085,microRNA 3618 [Source:HGNC Symbol;Acc:HGNC:38937],NA
RF00100,ENSMFAG00000035084,"RNA, 7SK small nuclear pseudogene 147 [Source:HGNC Symbol;Acc:HGNC:45871]",NA
,ENSMFAG00000035083,,NA
RF00019,ENSMFAG00000035080,,NA
RF00026,ENSMFAG00000035079,"RNA, U6 small nuclear 1304, pseudogene [Source:HGNC Symbol;Acc:HGNC:48267]",NA
RNF208,ENSMFAG00000035077,ring finger protein 208 [Source:HGNC Symbol;Acc:HGNC:25420],102143305
MIR518C,ENSMFAG00000035069,microRNA 518c [Source:HGNC Symbol;Acc:HGNC:32109],NA
RF00026,ENSMFAG00000035068,,NA
RF00019,ENSMFAG00000035067,,NA
RF00334,ENSMFAG00000035066,,NA
MIR577,ENSMFAG00000035065,microRNA 577 [Source:HGNC Symbol;Acc:HGNC:32833],NA
RF00019,ENSMFAG00000035064,,NA
RF00026,ENSMFAG00000035063,"RNA, U6 small nuclear 530, pseudogene [Source:HGNC Symbol;Acc:HGNC:47493]",NA
SEZ6L,ENSMFAG00000035056,seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763],102139724
RF00019,ENSMFAG00000035051,,NA
MIR139,ENSMFAG00000035049,microRNA 139 [Source:HGNC Symbol;Acc:HGNC:31526],NA
,ENSMFAG00000035048,,NA
RF00334,ENSMFAG00000035047,"small nucleolar RNA, H/ACA box 3B [Source:HGNC Symbol;Acc:HGNC:32638]",NA
RF00026,ENSMFAG00000035046,"RNA, U6 small nuclear 742, pseudogene [Source:HGNC Symbol;Acc:HGNC:47705]",NA
,ENSMFAG00000035044,,NA
RF00019,ENSMFAG00000035043,,NA
CCDC61,ENSMFAG00000035042,coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629],102117490
RF00026,ENSMFAG00000035041,"RNA, U6 small nuclear 411, pseudogene [Source:HGNC Symbol;Acc:HGNC:47374]",NA
,ENSMFAG00000035039,,NA
RF00100,ENSMFAG00000035038,"RNA, 7SK small nuclear pseudogene 207 [Source:HGNC Symbol;Acc:HGNC:45931]",NA
RF00026,ENSMFAG00000035037,,NA
