gene_name,ensembl,description,entrezgene
si:ch73-288o11.5,ENSDARG00000097503,si:ch73-288o11.5 [Source:ZFIN;Acc:ZDB-GENE-131121-416],793902
BX936284.1,ENSDARG00000104512,,NA
fgd5b,ENSDARG00000089622,"FYVE, RhoGEF and PH domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-130925-3]",NA
CR855277.3,ENSDARG00000093926,uncharacterized LOC108179599 [Source:NCBI gene;Acc:108179599],108179599
si:dkey-251i10.2,ENSDARG00000093957,si:dkey-251i10.2 [Source:ZFIN;Acc:ZDB-GENE-050506-102],562682
si:ch73-185c24.2,ENSDARG00000096908,si:ch73-185c24.2 [Source:ZFIN;Acc:ZDB-GENE-131121-189],794764
ptafr,ENSDARG00000042370,platelet-activating factor receptor [Source:ZFIN;Acc:ZDB-GENE-131127-236],100002627
si:rp71-77l1.1,ENSDARG00000097746,si:rp71-77l1.1 [Source:ZFIN;Acc:ZDB-GENE-131121-141],569583
si:ch211-195e19.1,ENSDARG00000078991,si:ch211-195e19.1 [Source:ZFIN;Acc:ZDB-GENE-141216-110],100002956
guca1e,ENSDARG00000101567,guanylate cyclase activator 1e [Source:ZFIN;Acc:ZDB-GENE-040426-1577],393629
si:rp71-36a1.2,ENSDARG00000093686,si:rp71-36a1.2 [Source:ZFIN;Acc:ZDB-GENE-050208-646],100034566
si:ch211-284b7.3,ENSDARG00000063341,si:ch211-284b7.3 [Source:ZFIN;Acc:ZDB-GENE-061207-34],555997
dclk2b,ENSDARG00000102845,doublecortin-like kinase 2b [Source:ZFIN;Acc:ZDB-GENE-110411-1],100332814
si:ch211-191d2.2,ENSDARG00000090836,si:ch211-191d2.2 [Source:ZFIN;Acc:ZDB-GENE-110407-3],101882796
ccnt2b,ENSDARG00000036510,cyclin T2b [Source:ZFIN;Acc:ZDB-GENE-030131-183],321464
nrxn2b,ENSDARG00000063150,neurexin 2b [Source:ZFIN;Acc:ZDB-GENE-070206-7],NA
ptgdsb.1,ENSDARG00000027088,"prostaglandin D2 synthase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8436]",336492
cuedc2,ENSDARG00000039365,CUE domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6283],334351
sugt1,ENSDARG00000100083,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:ZFIN;Acc:ZDB-GENE-041114-56]",492489
CR855277.1,ENSDARG00000092020,,NA
CT573433.1,ENSDARG00000087979,"beta-1,3-galactosyltransferase 2-like [Source:NCBI gene;Acc:101882239]",101882239
sri,ENSDARG00000058593,sorcin [Source:ZFIN;Acc:ZDB-GENE-040426-1356],393344
pmfbp1,ENSDARG00000101917,polyamine modulated factor 1 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-131127-619],NA
si:ch211-190k17.19,ENSDARG00000095756,si:ch211-190k17.19 [Source:ZFIN;Acc:ZDB-GENE-070912-167],NA
hpgd,ENSDARG00000012016,15-hydroxyprostaglandin dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-080728-2],565975
cdc73,ENSDARG00000020201,"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1309]",393319
ammecr1,ENSDARG00000012892,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 homolog (human) [Source:ZFIN;Acc:ZDB-GENE-040426-1533]",393553
fam19a5l,ENSDARG00000068100,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A5-like [Source:ZFIN;Acc:ZDB-GENE-050419-194]",100004683
si:ch1073-181h11.1,ENSDARG00000101700,si:ch1073-181h11.1 [Source:ZFIN;Acc:ZDB-GENE-081104-73],NA
si:dkeyp-101e12.1,ENSDARG00000089794,si:dkeyp-101e12.1 [Source:ZFIN;Acc:ZDB-GENE-091113-32],NA
crygm2a,ENSDARG00000057536,"crystallin, gamma M2a [Source:ZFIN;Acc:ZDB-GENE-050516-9]",553177
pdzd8,ENSDARG00000088699,PDZ domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-110310-2],561279
vav3a,ENSDARG00000086623,vav 3 guanine nucleotide exchange factor a [Source:ZFIN;Acc:ZDB-GENE-091204-266],NA
nfatc4,ENSDARG00000054162,nuclear factor of activated T cells 4 [Source:ZFIN;Acc:ZDB-GENE-070912-659],561682
znf653,ENSDARG00000093469,zinc finger protein 653 [Source:ZFIN;Acc:ZDB-GENE-071116-3],100329742
camk1gb,ENSDARG00000008788,calcium/calmodulin-dependent protein kinase IGb [Source:ZFIN;Acc:ZDB-GENE-040426-1694],393802
ghrb,ENSDARG00000007671,growth hormone receptor b [Source:ZFIN;Acc:ZDB-GENE-071119-4],560202
BX927082.2,ENSDARG00000105628,,NA
tbx19,ENSDARG00000079187,T-box 19 [Source:ZFIN;Acc:ZDB-GENE-110411-5],100538180
BX001030.2,ENSDARG00000093671,,NA
nkd3,ENSDARG00000013174,naked cuticle homolog 3 [Source:ZFIN;Acc:ZDB-GENE-060503-63],100500933
hacd2,ENSDARG00000014806,3-hydroxyacyl-CoA dehydratase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6053],334121
CU466278.2,ENSDARG00000105510,,NA
BX323557.1,ENSDARG00000097931,si:dkeyp-86b9.5 [Source:NCBI gene;Acc:100536168],100536168
si:ch211-57m13.8,ENSDARG00000078271,si:ch211-57m13.8 [Source:ZFIN;Acc:ZDB-GENE-110411-238],NA
si:ch211-259g3.4,ENSDARG00000030945,si:ch211-259g3.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8118],NA
aldh3a2a,ENSDARG00000028259,"aldehyde dehydrogenase 3 family, member A2a [Source:ZFIN;Acc:ZDB-GENE-040718-74]",323653
si:ch211-1f22.1,ENSDARG00000013203,si:ch211-1f22.1 [Source:ZFIN;Acc:ZDB-GENE-121214-79],100006166
dnajc11a,ENSDARG00000011196,"DnaJ (Hsp40) homolog, subfamily C, member 11a [Source:ZFIN;Acc:ZDB-GENE-030131-1673]",322953
CU466278.1,ENSDARG00000097033,,NA
pigo,ENSDARG00000011743,"phosphatidylinositol glycan anchor biosynthesis, class O [Source:ZFIN;Acc:ZDB-GENE-091204-80]",563993
rpl29,ENSDARG00000077717,ribosomal protein L29 [Source:ZFIN;Acc:ZDB-GENE-040801-167],445040
si:dkey-174m14.3,ENSDARG00000043673,si:dkey-174m14.3 [Source:ZFIN;Acc:ZDB-GENE-030131-8158],563117
vamp8,ENSDARG00000024116,vesicle-associated membrane protein 8 (endobrevin) [Source:ZFIN;Acc:ZDB-GENE-030131-5215],327007
nt5c3a,ENSDARG00000058597,"5'-nucleotidase, cytosolic IIIA [Source:ZFIN;Acc:ZDB-GENE-030131-439]",321720
b4galt7,ENSDARG00000021899,"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) [Source:ZFIN;Acc:ZDB-GENE-040727-3]",445022
CR383668.1,ENSDARG00000103202,,NA
slc30a6,ENSDARG00000077368,"solute carrier family 30 (zinc transporter), member 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1838]",402949
brd7,ENSDARG00000008380,bromodomain containing 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2687],406675
zgc:114123,ENSDARG00000044956,zgc:114123 [Source:ZFIN;Acc:ZDB-GENE-050913-53],569174
si:dkey-28b4.7,ENSDARG00000079632,si:dkey-28b4.7 [Source:ZFIN;Acc:ZDB-GENE-050506-118],571834
BX957328.1,ENSDARG00000092802,uncharacterized LOC101883797 [Source:NCBI gene;Acc:101883797],101883797
map1ab,ENSDARG00000022045,microtubule-associated protein 1Ab [Source:ZFIN;Acc:ZDB-GENE-100426-3],797545
nt5c2b,ENSDARG00000058231,"5'-nucleotidase, cytosolic IIb [Source:ZFIN;Acc:ZDB-GENE-061013-522]",557972
mxb,ENSDARG00000004953,myxovirus (influenza) resistance B [Source:ZFIN;Acc:ZDB-GENE-030721-6],360143
ndufs7,ENSDARG00000074552,NADH:ubiquinone oxidoreductase core subunit S7 [Source:ZFIN;Acc:ZDB-GENE-041111-261],796997
CT573429.1,ENSDARG00000038009,GTPase IMAP family member 4-like [Source:NCBI gene;Acc:798736],798736
