gene_name,ensembl,description,entrezgene
AY172581.13,ENSRNOG00000031780,,NA
AY172581.9,ENSRNOG00000030478,,NA
AY172581.3,ENSRNOG00000029171,,NA
AY172581.24,ENSRNOG00000043866,,NA
AY172581.14,ENSRNOG00000032112,,NA
Mt-nd1,ENSRNOG00000030644,mitochondrially encoded NADH dehydrogenase 1 [Source:RGD Symbol;Acc:620555],26193
AY172581.4,ENSRNOG00000029301,,NA
AY172581.21,ENSRNOG00000033545,,NA
AY172581.15,ENSRNOG00000032274,,NA
Mt-nd2,ENSRNOG00000031033,mitochondrially encoded NADH dehydrogenase 2 [Source:RGD Symbol;Acc:620556],26194
AY172581.6,ENSRNOG00000029677,,NA
AY172581.22,ENSRNOG00000033932,,NA
AY172581.18,ENSRNOG00000032609,,NA
AY172581.10,ENSRNOG00000031333,,NA
AY172581.7,ENSRNOG00000029954,,NA
Mt-co1,ENSRNOG00000034234,mitochondrially encoded cytochrome c oxidase 1 [Source:RGD Symbol;Acc:621871],26195
AY172581.19,ENSRNOG00000032882,,NA
AY172581.12,ENSRNOG00000031685,,NA
Mt-co2,ENSRNOG00000030371,mitochondrially encoded cytochrome c oxidase II [Source:RGD Symbol;Acc:621872],26198
AY172581.1,ENSRNOG00000029070,,NA
Mt-atp8,ENSRNOG00000033299,mitochondrially encoded ATP synthase 8 [Source:RGD Symbol;Acc:621240],26196
Mt-atp6,ENSRNOG00000031979,mitochondrially encoded ATP synthase 6 [Source:RGD Symbol;Acc:621239],26197
Mt-co3,ENSRNOG00000030700,mitochondrially encoded cytochrome c oxidase III [Source:RGD Symbol;Acc:621873],26204
AY172581.5,ENSRNOG00000029389,,NA
Mt-nd3,ENSRNOG00000033615,mitochondrially encoded NADH dehydrogenase 3 [Source:RGD Symbol;Acc:620557],26199
AY172581.16,ENSRNOG00000032320,,NA
Mt-nd4l,ENSRNOG00000031053,mitochondrially encoded NADH 4L dehydrogenase [Source:RGD Symbol;Acc:620494],26200
Mt-nd4,ENSRNOG00000029707,mitochondrially encoded NADH dehydrogenase 4 [Source:RGD Symbol;Acc:620559],26201
AY172581.23,ENSRNOG00000033957,,NA
AY172581.17,ENSRNOG00000032578,,NA
AY172581.11,ENSRNOG00000031667,,NA
Mt-nd5,ENSRNOG00000029971,mitochondrially encoded NADH dehydrogenase 5 [Source:RGD Symbol;Acc:620560],26202
Mt-nd6,ENSRNOG00000029042,mitochondrially encoded NADH dehydrogenase 6 [Source:RGD Symbol;Acc:620561],26203
AY172581.20,ENSRNOG00000032997,,NA
Mt-cyb,ENSRNOG00000031766,mitochondrially encoded cytochrome b [Source:RGD Symbol;Acc:620081],26192
AY172581.8,ENSRNOG00000030339,,NA
AY172581.2,ENSRNOG00000029145,,NA
AABR07051205.1,ENSRNOG00000062274,,NA
Dnlz,ENSRNOG00000018791,DNL-type zinc finger [Source:RGD Symbol;Acc:1308635],296587
Ccdc92b,ENSRNOG00000057228,coiled-coil domain containing 92B [Source:RGD Symbol;Acc:1562276],NA
AABR07060101.1,ENSRNOG00000053425,,NA
Zscan25,ENSRNOG00000042213,zinc finger and SCAN domain containing 25 [Source:RGD Symbol;Acc:1308619],363872
Entr1,ENSRNOG00000018876,endosome associated trafficking regulator 1 [Source:RGD Symbol;Acc:1305930],306322
Kifc1,ENSRNOG00000000479,kinesin family member C1 [Source:RGD Symbol;Acc:1359118],294286
Rpe,ENSRNOG00000038085,ribulose-5-phosphate-3-epimerase [Source:RGD Symbol;Acc:1564890],501157
AC136588.3,ENSRNOG00000056767,,NA
AABR07030499.1,ENSRNOG00000062223,,NA
Adam11,ENSRNOG00000002753,ADAM metallopeptidase domain 11 [Source:RGD Symbol;Acc:1307515],360638
Mcidas,ENSRNOG00000039588,multiciliate differentiation and DNA synthesis associated cell cycle protein [Source:RGD Symbol;Acc:1584164],688802
Sult1c2a,ENSRNOG00000042111,"sulfotransferase family, cytosolic, 1C, member 2a [Source:RGD Symbol;Acc:1305885]",316153
Gpc6,ENSRNOG00000046660,glypican 6 [Source:RGD Symbol;Acc:1593308],691984
LOC100910057,ENSRNOG00000047369,sulfotransferase 1C2-like [Source:RGD Symbol;Acc:6500449],100910057
AC096317.2,ENSRNOG00000054910,,NA
LOC102554913,ENSRNOG00000037421,zinc finger protein 120-like [Source:RGD Symbol;Acc:7711909],NA
Fbxo36,ENSRNOG00000017053,F-box protein 36 [Source:RGD Symbol;Acc:1307870],363268
RGD1562392,ENSRNOG00000031833,similar to Sulfotransferase K1 (rSULT1C2) [Source:RGD Symbol;Acc:1562392],367201
Hps1,ENSRNOG00000045838,"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1 [Source:RGD Symbol;Acc:69193]",114638
LOC688801,ENSRNOG00000042867,hypothetical protein LOC688801 [Source:RGD Symbol;Acc:1584165],NA
Tor1a,ENSRNOG00000006894,"torsin family 1, member A [Source:RGD Symbol;Acc:628863]",266606
Itgb5,ENSRNOG00000001795,integrin subunit beta 5 [Source:RGD Symbol;Acc:628869],257645
AABR07029958.2,ENSRNOG00000062057,,NA
RGD1305178,ENSRNOG00000007532,similar to Hypothetical protein MGC11690 [Source:RGD Symbol;Acc:1305178],311855
AC096317.4,ENSRNOG00000061408,,NA
AABR07019383.1,ENSRNOG00000008671,dopachrome tautomerase [Source:NCBI gene;Acc:290484],290484
AC127784.2,ENSRNOG00000061943,,NA
AABR07040770.1,ENSRNOG00000062195,,NA
AABR07024442.1,ENSRNOG00000046720,,NA
AABR07039116.1,ENSRNOG00000038099,,NA
Ppp1r11,ENSRNOG00000000780,"protein phosphatase 1, regulatory (inhibitor) subunit 11 [Source:RGD Symbol;Acc:1303163]",294207
Rffl,ENSRNOG00000007596,ring finger and FYVE-like domain containing E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:727916],282844
LOC100910526,ENSRNOG00000040215,sulfotransferase 1C2-like [Source:RGD Symbol;Acc:6497849],171072
Rnf39,ENSRNOG00000000781,ring finger protein 39 [Source:RGD Symbol;Acc:628854],171387
AABR07021544.1,ENSRNOG00000049537,,100302372
AABR07039118.1,ENSRNOG00000051338,,NA
Nrk,ENSRNOG00000008880,Nik related kinase [Source:RGD Symbol;Acc:1566163],315907
AABR07024463.1,ENSRNOG00000050746,,NA
Cdc16,ENSRNOG00000017536,cell division cycle 16 [Source:RGD Symbol;Acc:1305076],290875
Dux4,ENSRNOG00000025408,double homeobox 4 [Source:RGD Symbol;Acc:1311053],306226
Lig3,ENSRNOG00000021815,DNA ligase 3 [Source:RGD Symbol;Acc:1309875],303369
Tab1,ENSRNOG00000017285,TGF-beta activated kinase 1/MAP3K7 binding protein 1 [Source:RGD Symbol;Acc:1306216],315139
Sult1c2,ENSRNOG00000050885,sulfotransferase family 1C member 2 [Source:RGD Symbol;Acc:621064],171072
Sult1c2,ENSRNOG00000050885,sulfotransferase family 1C member 2 [Source:RGD Symbol;Acc:621064],100910526
Lancl1,ENSRNOG00000013557,LanC like 1 [Source:RGD Symbol;Acc:69416],114515
AABR07052125.1,ENSRNOG00000006829,,NA
Phf1,ENSRNOG00000000480,PHD finger protein 1 [Source:RGD Symbol;Acc:1303205],294287
